Lat,Lon,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
-22.5,2.5,-0.012551,0.059286,0.0021149,-0.0085204,0.039174,0.058173,0.029413,0.03142,0.016815,-0.0069464,0.054433,-0.0083091,0.0071378,0.02008,0.0090213,-0.0040952,-0.012537,0.059483,0.05454,0.033397,-0.0028741,-0.0072296,0.024728,-0.021644,0.016934,0.028513,0.015864,0.043429,0.014941,0.032127,0.029233,0.059486,0.018704,0.002857,-0.018902,0.055364,0.020811,0.022455,0.030376,0.0016527,0.038891,0.032729,0.028833,-0.0032136,0.0072797,0.02041,-0.02469,0.0035692,0.037091,0.0072402,0.062056,0.012219,0.050141,0.033754,0.045001,0.067939,0.041117,0.062884,0.016582,0.026609,-0.023116,-0.0087719,-0.0050466,-0.040206,0.011944,0.018254,-0.01662,0.0060068,0.019667,0.0018294,-0.014878,0.055185,-0.0311,-0.0020583,-0.0016923,0.057794,0.044547,-0.0077038,0.032337,0.036874,0.084292,0.02234,0.022843,-0.017164,-0.064639,-0.047159,-0.033597,-0.036103,-0.022643,0.013077,0.0065434,0.021131,0.020461,-0.00077865,-0.069096,-0.040762,-0.00013105,-0.010211,0.0005951,0.07621,0.024398,0.0013207,-0.038214,0.0019809,-0.0261,0.02433,0.00040118,0.018112,-0.052529,0.035456,0.026294,0.023547
-17.5,2.5,-0.018395,0.094731,-0.018451,-0.038729,0.071231,0.07049,0.0063825,0.028916,0.025951,0.0069008,0.053616,0.0056945,0.003723,0.045117,0.0069738,-0.004265,-0.0095774,0.068152,0.088985,0.057619,0.033878,-0.0012811,0.039019,0.0075277,0.026089,0.074137,0.010805,0.042484,0.019651,0.034077,0.053232,0.055536,0.030284,0.029744,0.0014319,0.073453,0.021675,0.018568,0.021908,0.021689,0.042623,0.038014,0.02104,0.01998,0.00025013,0.015675,-0.018035,0.0035729,0.027596,0.013736,0.049152,0.028619,0.069369,0.04253,0.011256,0.058512,0.016883,0.068622,0.0055991,0.015279,-0.040287,-0.013974,-0.02325,-0.025727,0.0066213,0.044284,-0.017089,-0.0094178,0.027804,0.018634,-0.011929,0.059112,-0.023676,-0.022668,-0.0029857,0.043368,0.044952,-0.0031756,0.01885,0.043819,0.090969,-0.0043279,0.043804,-0.037165,-0.061268,-0.027292,-0.026165,0.0050881,-0.033459,-0.0024872,-0.017463,0.049619,-0.013658,-0.042328,-0.04562,-0.048965,-0.023242,-0.020224,-0.051291,0.10741,0.021148,0.0043012,-0.0024792,0.0032203,0.013887,0.0063246,-0.019683,0.033461,-0.0031268,0.01619,0.013991,0.024611
-12.5,2.5,-0.026481,0.055438,-0.013028,-0.023679,0.057955,0.052798,-0.0035081,0.041342,0.013754,-0.0076725,0.034756,-0.01411,0.015596,0.031116,-0.02275,-0.0025741,-0.0036032,0.034951,0.052025,0.042709,0.024639,0.010374,0.032169,0.016657,0.013905,0.046489,0.030848,0.041936,0.030478,0.031591,0.031265,0.054867,0.038839,0.02308,0.013466,0.058821,0.037852,0.029927,0.018697,0.0059803,0.011969,0.0073113,0.014206,-0.0052111,0.0077889,0.018959,-0.0043858,-0.015873,0.029132,0.022391,0.032091,0.022906,0.045756,0.026209,0.007614,0.047007,0.011654,0.045607,0.0072488,0.02452,-0.04153,-0.0023894,-0.031615,-0.020333,0.0077796,0.030122,-0.00758,0.0058125,-0.0073765,0.021646,-0.0091352,0.049767,-0.016318,-0.013685,-0.013932,0.042774,0.027333,-0.011374,0.026976,0.032882,0.054551,-0.00269,0.04654,-0.025224,-0.048354,-0.031204,-0.021616,-0.022987,0.022312,-0.018251,-0.014251,0.05169,-0.032948,-0.03365,-0.046597,-0.040286,-0.03161,-0.020542,-0.043489,0.063816,0.017724,0.0028203,0.0059959,0.023194,-0.011801,0.017906,0.0070006,0.046804,0.0036109,0.0079031,0.0008594,0.029503
-7.5,2.5,-0.053693,-0.14884,-0.087366,-0.072438,-0.11803,0.033095,-0.051516,0.013897,-0.012184,0.15993,0.033482,-0.069413,0.0028203,-0.027267,-0.16706,0.060435,0.085466,0.11323,-0.14544,0.096083,0.0334,0.02053,0.007072,0.089654,0.089501,-0.031206,0.10421,0.022044,0.11459,-0.0023347,-0.096615,-0.014996,0.15609,0.23758,0.093166,0.039543,-0.014264,0.025274,-0.015658,-0.061167,-0.055808,-0.094938,-0.090683,0.051444,-0.002887,0.0043745,0.081609,-0.032348,0.050842,0.084085,0.031981,0.023801,-0.08727,-0.0022297,0.021721,0.10036,0.040572,-0.093993,-0.0070128,0.030578,-0.033539,0.21414,0.11439,0.045643,0.03139,-0.10714,-0.0050279,0.081954,-0.10283,-0.059608,0.072528,0.065497,-0.033864,0.057871,0.039562,0.098581,-0.030988,-0.12264,-0.0422,-0.012219,-0.11689,0.014704,-0.016105,0.041259,-0.05108,0.056325,-0.09866,-0.13548,0.17007,-0.10012,-0.021872,-0.031915,-0.13129,-0.018508,0.11859,0.052194,-0.12652,0.048426,-0.00025293,0.11218,-0.044061,0.079548,0.093129,-0.10364,-0.025256,0.0079812,0.026431,0.20493,0.17098,-0.082971,-0.025534,0.013316
-2.5,2.5,0.013801,-0.51403,-0.25594,-0.022216,-0.5494,0.11387,-0.15433,-0.21479,-0.012994,0.56084,0.16491,-0.17577,-0.0060925,-0.2335,-0.34332,0.29547,0.37558,0.43125,-0.60676,-0.017662,-0.06873,-0.006371,-0.089723,0.048746,0.29697,-0.13542,0.1345,-0.079775,0.16125,-0.040547,-0.29114,-0.26168,0.18809,0.68449,0.2126,-0.038635,-0.15817,0.064206,-0.099898,-0.12059,-0.096482,-0.25375,-0.20917,0.17087,-0.11688,-0.046112,0.2167,0.042646,-0.0071514,0.1918,0.032906,0.021023,-0.37613,0.087162,0.24912,0.2809,0.042073,-0.35398,0.00096644,0.030167,0.21134,0.65526,0.71851,0.34662,-0.1824,-0.31803,0.15564,0.22623,-0.10237,-0.13364,0.43412,-0.054399,-0.21806,0.23495,0.043021,0.17996,-0.037701,-0.20026,-0.30224,-0.14394,-0.25876,0.060109,-0.46013,0.2453,0.21188,0.2697,-0.35124,0.13379,0.28176,0.20355,0.069638,-0.34018,-0.43948,0.12131,0.26014,0.40613,-0.22993,-0.049338,0.28611,0.18108,-0.27837,0.24504,0.034776,-0.40004,-0.15226,-0.0055109,0.14439,0.30746,0.19167,-0.25177,0.064829,-0.077117
2.5,2.5,0.28324,-0.13186,-0.1905,0.16004,-0.87811,0.080356,0.059193,-0.1369,0.20042,0.8226,0.55542,-0.092081,-0.025665,-0.077148,-0.2205,0.61198,0.68111,0.76987,-0.78659,-0.20905,0.18955,0.1653,0.098777,0.043681,0.43193,-0.022981,0.026293,-0.093071,0.44087,-0.050626,-0.28677,-0.30024,0.12077,0.82494,0.34631,-0.15555,-0.16294,0.34666,0.03879,0.057833,0.01005,-0.14814,-0.19042,0.27236,-0.066896,0.25122,0.11392,0.20674,-0.054627,0.25528,-0.10562,0.0058931,-0.30362,0.25524,0.42979,0.47398,0.050306,-0.52053,0.13062,0.20998,0.51745,0.65655,1.0882,0.78779,-0.2359,-0.34098,0.35955,0.15118,-0.15259,-0.31428,0.57128,-0.010914,-0.22881,0.43527,0.09755,0.16389,0.048296,-0.17546,-0.50433,-0.068267,-0.49806,-0.053732,-0.8798,0.40635,0.54397,0.36189,-0.5566,0.60163,0.23218,0.29869,0.31813,-0.42248,-0.55824,0.31875,0.033444,0.65555,-0.22161,-0.33066,0.13513,0.24424,-0.10613,0.33567,0.28473,0.032964,-0.39172,-0.12682,-0.18564,0.29943,-0.080916,-0.20194,0.23518,-0.022415
7.5,2.5,0.17267,0.83055,-0.18035,-0.20363,-0.23859,0.42531,0.0028053,0.10278,0.25405,0.5162,0.72319,0.11642,0.012953,0.45051,-0.020875,0.43514,0.27074,0.82619,0.076751,0.36623,0.37739,-0.011486,0.48822,0.43148,0.533,0.72707,0.11015,0.1007,0.71621,0.29592,0.43704,0.2681,0.13961,0.47971,0.4264,0.25286,0.0044025,0.20365,0.14702,0.14541,0.36276,0.28612,0.15649,0.32207,0.41315,0.065345,-0.15686,0.20616,0.0015283,0.20155,0.091936,0.30706,0.14628,0.49601,0.29062,0.43537,0.11583,0.20806,-0.065741,0.28384,0.056712,0.50748,0.60671,0.52904,0.012486,0.067026,0.36682,0.25198,-0.02707,0.038604,0.11208,0.21318,-0.20025,-0.027342,-0.019044,0.066705,0.10133,-0.0085553,-0.151,0.33341,0.18797,-0.15715,-0.45443,-0.43837,0.054135,0.093634,-0.35528,0.50644,-0.01075,-0.16682,0.077754,-0.17663,-0.31912,-0.036751,0.33295,0.16348,-0.33031,-0.39982,-0.59465,0.59538,-0.35847,0.084319,0.41528,0.16705,0.13148,-0.19221,-0.29063,0.58876,0.1727,-0.34025,0.17762,0.1472
12.5,2.5,0.024392,0.15203,-0.034115,-0.062696,-0.19207,0.07436,0.20197,-0.011311,0.035259,0.27201,0.3595,-0.021146,-0.1523,0.1758,-0.067874,0.15123,0.13411,0.48521,-0.021895,0.21878,0.062209,-0.021457,0.071371,0.11561,0.29412,0.086651,0.097903,-0.0012094,0.24887,-0.0091145,0.043117,-0.0037885,0.17204,0.21564,0.15962,0.067841,-0.085604,0.02503,0.0083578,-0.046047,0.16877,0.06292,0.10841,0.20305,0.22754,0.10496,-0.077031,0.097909,0.025823,0.073911,0.23295,-0.047241,-0.062436,0.022195,0.2635,0.20931,0.18966,0.047393,-0.15975,0.10841,-0.060426,0.24231,0.30367,0.10467,0.15269,-0.075281,0.12776,0.30721,-0.13799,-0.11906,0.12996,0.10184,-0.16735,0.044844,0.11676,0.23364,-0.015402,-0.092073,-0.013326,0.06235,-0.020996,0.063619,-0.03954,-0.24464,-0.30758,-0.089111,-0.14469,-0.26779,0.10177,-0.27981,-0.026522,-0.12464,-0.042465,-0.06533,0.4895,0.12563,0.014652,-0.1445,-0.041932,0.44659,-0.18972,0.11031,0.16589,0.21088,0.18526,-0.10142,-0.039488,0.19384,0.17268,-0.10995,0.24139,-0.0099854
17.5,2.5,0.0067796,0.066783,-0.084581,-0.0086364,-0.038109,-0.0010916,0.08825,0.011047,0.029358,0.082329,0.078512,-0.062958,-0.030896,0.0085158,-0.04183,0.030321,0.046525,0.15591,0.021869,0.087175,0.031108,-0.07204,0.044337,0.063548,0.14768,0.052722,0.054737,0.0039035,0.066915,0.0064794,0.08706,0.063148,0.10842,0.045847,0.016387,0.10246,0.0010927,-0.043107,0.0022618,-0.019866,0.050189,0.023754,0.071751,0.099441,0.083847,0.017377,-0.026269,0.017584,-0.028526,0.037807,0.11219,0.023094,0.064805,0.0356,0.14048,0.065417,0.071192,0.072932,-0.088004,0.048062,-0.065124,0.07417,0.070796,-0.061207,0.02515,0.016359,0.045094,0.10413,-0.031095,0.037188,0.033468,-0.0034581,-0.1154,-0.030764,0.061521,0.062423,0.0031392,-0.025535,0.045096,0.050882,0.12609,0.0050323,-0.061801,-0.14537,-0.17892,-0.072797,-0.048401,-0.094864,0.04477,-0.15393,-0.11329,-0.064291,0.050952,-0.066141,0.21132,-0.0031636,-0.06017,-0.025236,0.048422,0.28879,0.011382,-0.0617,-0.0082107,0.060073,0.067579,0.055586,0.041263,0.079347,0.076934,-0.048702,0.1591,0.054154
22.5,2.5,0.021162,0.079977,0.020016,-0.022142,-0.027032,0.065704,0.012937,-0.0038232,0.032545,0.028636,0.042512,0.042914,0.013184,0.0030384,0.0082922,0.015599,0.0079802,0.020598,-0.00091672,0.010145,-0.014548,-0.0010552,-0.0030265,0.05685,0.032384,0.024302,0.027412,-0.010496,0.038619,-0.0033685,0.040631,0.0025793,0.025839,0.0057532,0.01582,0.021377,0.0076712,0.0039799,-0.0090744,-0.03919,0.021069,0.034915,-0.0038807,-0.018024,0.039792,0.012569,-0.00057693,-0.013501,0.0028464,-0.004819,-0.015601,0.017448,-0.020195,0.015254,0.020316,-0.021889,-0.021689,0.045204,-0.01463,0.015863,-0.021367,-0.0079812,0.022501,0.026889,-0.005374,0.017111,0.039351,0.028897,-0.019478,0.031269,0.00045515,-0.025269,0.0027309,-0.049502,-0.035688,-0.020383,-0.012875,-0.012162,-0.017375,0.038994,-0.014163,-0.012171,0.028551,-0.017914,-0.025307,-0.039855,-0.031237,0.015398,-0.023521,-0.063029,-0.0059375,-0.0060628,0.0043707,0.055333,0.11999,0.014007,-0.067824,-0.0021164,-0.051707,0.0067278,-0.062916,-0.028206,0.021024,0.020256,0.039536,0.018789,0.0075258,0.0068775,0.039657,-0.0039864,-0.017278,-0.0080063
